Platform,Domain,Linkedin Company Page,Country,,Continent,Total,Max,Min,Months,,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2
PrestaShop,https://uczyibawi.pl/,no url,Poland,,EU,"$4.250,00","$300,00","$50,00",18,,,,,,$50,$50,$50,$50,$50,$100,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
PrestaShop,https://seed-king.co.uk/,no url,United Kingdom,Website is down,EU,"$3.150,00","$200,00","$50,00",18,,,,,,$50,$100,$100,$100,$100,$100,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://register.visioneduc.com/,no url,Turkey,According to phone number,,"$3.250,00","$200,00","$50,00",18,,,,,,$50,$100,$100,$100,$100,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
WooCommerce,https://rokslide.com/,no url,United States,,,"$950,00","$50,00","$50,00",18,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://mpp.org/,https://www.linkedin.com/company/mppinnovation,United States,,,"$950,00","$50,00","$50,00",18,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://e-pela.com/,no url,Poland,,EU,"$3.800,00","$200,00","$200,00",18,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
WooCommerce,https://pdxpipeline.com/,https://www.linkedin.com/company/pdx-pipeline,United States,,,"$950,00","$50,00","$50,00",18,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://www.go2software.com.au/,no url,Australia,Currently unavailable,,"$45.500,00","$2.800,00","$2.000,00",18,,,,,,$2.10,$2.10,$2.10,$2.10,$2.10,$2.10,$2.00,$2.40,$2.70,$2.50,$2.50,$2.50,$2.50,$2.50,$2.50,$2.60,$2.60,$2.80,$2.80
WooCommerce,https://avada.theme-fusion.com/,no url,,Couldn't find name of country,,"$1.900,00","$100,00","$100,00",18,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
ThirtyBees,https://shopgearcubs.com/,no url,United States,,,"$1.900,00","$100,00","$100,00",18,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
WooCommerce,https://another71.com/,no url,United States,,,"$950,00","$50,00","$50,00",18,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://myphone4u.co.uk/,no url,United Kingdom,,EU,"$5.500,00","$300,00","$100,00",18,,,,,,$100,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
Magento,https://ankerkraut.de/,https://www.linkedin.com/company/ankerkraut-gmbh,Germany,,EU,"$7.900,00","$500,00","$200,00",18,,,,,,$200,$500,$500,$500,$500,$500,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
PrestaShop,https://vecelo.com/,no url,United States,,,"$5.100,00","$300,00","$200,00",18,,,,,,$200,$200,$200,$200,$200,$200,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
WooCommerce,https://undergroundreptiles.com/,https://www.linkedin.com/company/underground-reptiles,United States,,,"$1.900,00","$100,00","$100,00",18,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Shopify,https://www.elimindi.com/,https://www.linkedin.com/company/elimindi,United States,,,"$47.300,00","$3.200,00","$1.800,00",18,,,,,,$1.80,$2.20,$2.20,$2.20,$2.20,$2.40,$2.50,$2.50,$2.50,$2.20,$2.20,$2.20,$2.30,$2.30,$2.80,$3.20,$3.20,$3.20,$3.20
