Platform,Domain,Linkedin Company Page,Country,,Continent,Total,Max,Min,Months,,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2
WooCommerce,https://juliesfreebies.com/,no url,,Couldn't find name of country,,"$2.350,00","$200,00","$50,00",13,,,,,,,,,,,$50,$50,$50,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
WooCommerce,https://gitber.com/,no url,,Couldn't find name of country,,"$700,00","$50,00","$50,00",13,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://monthlyreview.org/,https://www.linkedin.com/company/monthly-review/about/,United States,,,"$6.750,00","$600,00","$50,00",13,,,,,,,,,,,$50,$50,$50,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600
WooCommerce,https://kauai.com/,https://www.linkedin.com/company/kauai-com,United States,,,"$2.350,00","$200,00","$50,00",13,,,,,,,,,,,$50,$50,$50,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
Magento,https://shop.easternskatesupply.com/,https://www.linkedin.com/company/eastern-skateboard-supply-inc,United States,,,"$20.300,00","$1.600,00","$1.100,00",13,,,,,,,,,,,$1.10,$1.10,$1.10,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.60,$1.60,$1.60,$1.60,$1.60
PrestaShop,https://secretgift.ro/,https://www.linkedin.com/company/your-secret-gift,Romania,,,"$1.400,00","$100,00","$100,00",13,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://shop.awab-abdelkarim.de/,no url,Germany,,EU,"$1.400,00","$100,00","$100,00",13,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
WooCommerce,https://tarisio.com/,https://www.linkedin.com/company/tarisio-fine-instruments-&-bows,United States,,,"$700,00","$50,00","$50,00",13,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://atheists.org/,https://www.linkedin.com/company/american-atheists,United States,,,"$900,00","$100,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$100,$100,$100,$100,$100
WooCommerce,https://gnosticwarrior.com/,no url,,Couldn't find name of country,,"$2.300,00","$200,00","$50,00",12,,,,,,,,,,,,$50,$50,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://sonelpro.com/,no url,,Website is under construction,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://suube.com/,https://www.linkedin.com/company/bestop-inc,,Website is down,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Shopify,https://www.wlure.com/,no url,,Couldn't find name of country,,"$23.500,00","$1.900,00","$1.000,00",12,,,,,,,,,,,,$1.00,$1.60,$1.90,$1.90,$1.90,$1.90,$1.90,$1.90,$1.90,$1.90,$1.90,$1.90,$1.90
PrestaShop,https://szivattyu-kivalasztas.hu/,no url,Hungary,,EU,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://tecnoainoa.com/,no url,Spain,,EU,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://tecnochufa.com/,no url,Spain,,EU,"$4.600,00","$400,00","$100,00",12,,,,,,,,,,,,$100,$100,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
PrestaShop,https://camarossaudio.com/,no url,Turkey,,,"$4.600,00","$400,00","$100,00",12,,,,,,,,,,,,$100,$100,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
PrestaShop,https://telabar.com/,no url,,Redirected to https://movieoutlet.co.uk/,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://louai-meuble.com/,no url,Algeria,,,"$3.400,00","$400,00","$100,00",12,,,,,,,,,,,,$100,$100,$200,$200,$200,$200,$200,$200,$400,$400,$400,$400,$400
PrestaShop,https://svord.com/,no url,New Zealand,,,"$1.800,00","$200,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$200,$200,$200,$200,$200
PrestaShop,https://ldcooling.com/,no url,Slovenia,,EU,"$3.500,00","$300,00","$100,00",12,,,,,,,,,,,,$100,$100,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
PrestaShop,https://lordsworld.eu/,no url,Italy,,,"$3.600,00","$400,00","$200,00",12,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$400,$400,$400,$400,$400
PrestaShop,https://dajuapparel.com/,no url,United States,,,"$2.600,00","$200,00","$200,00",12,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://sportrack.in/,https://www.linkedin.com/company/sport-rack-inc,India,,,"$2.600,00","$200,00","$200,00",12,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://pukioshopping.com/,no url,Japan,,Asia,"$4.800,00","$400,00","$200,00",12,,,,,,,,,,,,$200,$200,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
PrestaShop,https://moodsplanet.com/,no url,India,,,"$5.900,00","$500,00","$200,00",12,,,,,,,,,,,,$200,$200,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500
PrestaShop,https://greenbazar.in/,no url,India,,,"$4.800,00","$400,00","$200,00",12,,,,,,,,,,,,$200,$200,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
Magento,https://shopbiscoff.com/,no url,United States,,,"$6.100,00","$500,00","$300,00",12,,,,,,,,,,,,$300,$300,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500
Magento,https://nubra.com/,https://www.linkedin.com/company/nubra-s-l,United States,,,"$9.400,00","$800,00","$300,00",12,,,,,,,,,,,,$300,$300,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800,$800
Magento,https://thegreennursery.com/,no url,United States,,,"$3.900,00","$300,00","$300,00",12,,,,,,,,,,,,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
Magento,https://safetygearonline.com/,https://www.linkedin.com/company/safetygearonline.com,United States,,,"$3.900,00","$300,00","$300,00",12,,,,,,,,,,,,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
Magento,https://gnoce.com/,no url,United States,,,"$2.800,00","$300,00","$200,00",12,,,,,,,,,,,,$300,$300,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://thebellcollections.com/,no url,India,,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://tixper.do/,no url,United States,,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://sirocobike.com/,no url,Spain,,EU,"$4.600,00","$400,00","$100,00",12,,,,,,,,,,,,$100,$100,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
Magento,https://denalioutdoor.com/,https://www.linkedin.com/company/denali,United States,,,"$3.900,00","$300,00","$300,00",12,,,,,,,,,,,,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
Magento,https://weiman.com/,https://www.linkedin.com/company/weiman-products-llc,United States,,,"$3.900,00","$300,00","$300,00",12,,,,,,,,,,,,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
Shopify,https://goldenboyvape.ca/,no url,Canada,,,"$23.400,00","$1.900,00","$1.700,00",12,,,,,,,,,,,,$1.70,$1.70,$1.80,$1.80,$1.80,$1.80,$1.80,$1.80,$1.90,$1.90,$1.80,$1.80,$1.80
WooCommerce,https://mexperience.com/,https://www.linkedin.com/company/experience-mexico/about/,United Kingdom,,EU,"$2.300,00","$200,00","$50,00",12,,,,,,,,,,,,$50,$50,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
Magento,https://deercreekseed.com/,https://www.linkedin.com/company/schultz-turf-and-forage-seed/about/,United States,,,"$8.400,00","$700,00","$300,00",12,,,,,,,,,,,,$300,$400,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700
PrestaShop,https://vapedot.si/,no url,Slovenia,,EU,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://asiauvsaa.com/,https://www.linkedin.com/company/asiauvsaa/about/,India,,,"$2.500,00","$200,00","$100,00",12,,,,,,,,,,,,$100,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://vapemarkt.es/,no url,Spain,,EU,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Magento,https://evolvefitwear.com/,https://www.linkedin.com/company/evolve-fit-wear,United States,,,"$4.900,00","$400,00","$100,00",12,,,,,,,,,,,,$100,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
Magento,https://luxurylivingdirect.com/,https://www.linkedin.com/company/luxury-living-direct,United States,,,"$3.700,00","$300,00","$100,00",12,,,,,,,,,,,,$100,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
PrestaShop,https://Annabelle-jewellers.com/,no url,Australia,,,"$3.500,00","$300,00","$100,00",12,,,,,,,,,,,,$100,$100,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
PrestaShop,https://goodscents.ro/,https://www.linkedin.com/company/good-scent,Romania,,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
WooCommerce,https://jillcarnahan.com/,no url,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://eatingthaifood.com/,no url,United States,,,"$2.300,00","$200,00","$50,00",12,,,,,,,,,,,,$50,$50,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://mallenlinea.net/,no url,Panama,,,"$1.250,00","$100,00","$50,00",12,,,,,,,,,,,,$50,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://cooolprice.com/,https://fr.linkedin.com/company/daddy-coool,,Website is down,,"$2.450,00","$200,00","$50,00",12,,,,,,,,,,,,$50,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
WooCommerce,https://updraftplus.com/,https://www.linkedin.com/company/updraftplus,United Kingdom,,EU,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://shoot-straight.com/,https://www.linkedin.com/company/shoot-straight-inc,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://cassanos.com/,https://www.linkedin.com/company/cassano%27s-inc,United States,,,"$2.300,00","$200,00","$50,00",12,,,,,,,,,,,,$50,$50,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://climbordie.rocks/es//,no url,,Website is under construction,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://akcesoriameblowe.com.pl/,no url,Poland,,EU,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://immo-holidays.com/,https://www.linkedin.com/company/mb-immo,Spain,,EU,"$2.600,00","$200,00","$200,00",12,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
Shopify,https://netgear.tech2cool.com/,no url,Singapore,,,"$9.600,00","$900,00","$400,00",12,,,,,,,,,,,,$400,$500,$700,$700,$700,$700,$700,$700,$900,$900,$900,$900,$900
WooCommerce,https://mobilehomesell.com/,https://www.linkedin.com/company/mobile-home-sell,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://brimfieldantiquefleamarket.com/,no url,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://thebeachwaterpark.com/,https://www.linkedin.com/company/the-beach-waterpark,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://startasl.com/,no url,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://digitallanding.com/,https://www.linkedin.com/company/acceller-inc./about/,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://altanajoyas.es/,no url,Spain,,EU,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://arc-ap.com/,no url,Singapore,,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://beaute-cosmetique-soins.com/,https://www.linkedin.com/company/cosmetique-et-beaute,,Website is under construction,,"$2.500,00","$200,00","$100,00",12,,,,,,,,,,,,$100,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
Magento,https://wccaraudio.com/,no url,United States,,,"$3.700,00","$300,00","$100,00",12,,,,,,,,,,,,$100,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
PrestaShop,https://artcornerstore.com.uy/,no url,Uruguay,,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Magento,https://boardco.com/,https://www.linkedin.com/company/boardco-inc.,United States,,,"$14.800,00","$1.200,00","$1.100,00",12,,,,,,,,,,,,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.20,$1.20,$1.20,$1.20,$1.20
Shopify,https://www.racerc.gr/,no url,Greece,,EU,"$16.200,00","$1.700,00","$1.200,00",12,,,,,,,,,,,,$1.20,$1.30,$1.70,$1.20,$1.20,$1.20,$1.20,$1.20,$1.20,$1.20,$1.20,$1.20,$1.20
Magento,https://telcodepot.com/,no url,United States,,,"$14.800,00","$1.400,00","$1.000,00",12,,,,,,,,,,,,$1.00,$1.40,$1.40,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10
Shopify,https://blancboutiqueandsalon.com/,no url,United States,,,"$5.800,00","$700,00","$100,00",12,,,,,,,,,,,,$100,$700,$700,$400,$400,$400,$400,$400,$400,$400,$500,$500,$500
PrestaShop,https://beautyselection.es/,no url,Spain,,EU,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://besshop.eu/,no url,,Website is down,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://boutiquedefrancheska.com/,no url,Dominican Republic,,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
WooCommerce,https://maleq.org/,no url,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://buyopioidpillsforsale.com/,no url,United States,,,"$1.300,00","$100,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://spprecision.com/,no url,United States,,,"$1.600,00","$200,00","$100,00",12,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$200,$200,$200
WooCommerce,https://24hplans.com/,no url,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://deanspc.co.uk/,no url,United Kingdom,,EU,"$2.450,00","$200,00","$50,00",12,,,,,,,,,,,,$50,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
WooCommerce,https://blog.inoreader.com/,no url,United States,,,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://psychologytools.com/,https://www.linkedin.com/company/psychologytools/,United Kingdom,,EU,"$650,00","$50,00","$50,00",12,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://cheapproduct.net/,no url,United States,,,"$1.200,00","$100,00","$100,00",11,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://chronicles.com.ua/,no url,Ukraine,,,"$1.200,00","$100,00","$100,00",11,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
WooCommerce,https://trex-arms.com/,no url,United States,,,"$600,00","$50,00","$50,00",11,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://www.dynastyclothingstore.com,https://www.linkedin.com/company/dynasty-clothing-store,,Couldn't find name of country,,"$24.700,00","$2.600,00","$2.000,00",11,,,,,,,,,,,,,$2.10,$2.60,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00
PrestaShop,https://cosmeticsale.co.uk/,https://www.linkedin.com/company/cosmetic-sales,United Kingdom,,EU,"$1.200,00","$100,00","$100,00",11,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
WooCommerce,https://homesoftherich.net/,no url,United States,,,"$600,00","$50,00","$50,00",11,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://kensnursery.com/,no url,United States,,,"$2.550,00","$300,00","$50,00",11,,,,,,,,,,,,,$50,$200,$200,$200,$200,$200,$200,$200,$200,$300,$300,$300
WooCommerce,https://flylvia.com/,https://www.linkedin.com/company/lnaa,United States,,,"$600,00","$50,00","$50,00",11,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://darksensuality.com/,no url,Spain,,EU,"$1.200,00","$100,00","$100,00",11,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://darnimedica.lt/,no url,Lithuania,,EU,"$1.200,00","$100,00","$100,00",11,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Shopify,https://unizep.com.my/,no url,Malaysia,,,"$10.100,00","$1.300,00","$700,00",11,,,,,,,,,,,,,$1.30,$1.30,$800,$800,$800,$800,$800,$700,$700,$700,$700,$700
PrestaShop,https://yogaclothing.co.za/,no url,South Africa,,,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://fluxport.com/,https://www.linkedin.com/company/fluxport,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://ellephanti.com/,no url,Canada,,,"$1.300,00","$200,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$200,$200,$200,$200,$200
PrestaShop,https://balinarske-krogle.si/,no url,Slovenia,,EU,"$2.800,00","$500,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$500,$500,$500,$500,$500
PrestaShop,https://fti-farbbandfabrik.de/,no url,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://fuckinggoodlife.com/,no url,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://bikefactory-hamburg.de/,https://www.linkedin.com/company/bikefactory-altona/,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://blitzsoftware.de/,no url,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://shop.trustedhealthproducts.com/,https://www.linkedin.com/company/trusted-health-products/about/,United States,,,"$2.200,00","$200,00","$200,00",10,,,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
Shopify,https://paperwallet.com/,https://www.linkedin.com/company/paper-media-design,United States,,,"$2.500,00","$300,00","$200,00",10,,,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$300,$300,$300
Shopify,https://www.akronstreet.com/,https://www.linkedin.com/company/akron-street,United States,,,"$2.700,00","$300,00","$200,00",10,,,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$300,$300,$300,$300,$300
PrestaShop,https://beagle-express.de/,no url,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://amshoppingworld.de/,no url,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://alu-stecksysteme.de/,no url,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://aquagk.de/,no url,Poland,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://agios-fashion.com/,https://www.linkedin.com/company/fia-fashion,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://lilyanna.com,no url,Singapore,,,"$7.700,00","$700,00","$700,00",10,,,,,,,,,,,,,,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700
WooCommerce,https://babysignlanguage.com/,no url,United States,,,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://catfishedge.com/,no url,United States,,,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://restomods.com/,https://www.linkedin.com/company/restomods-com/about/,United States,,,"$800,00","$100,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$100,$100,$100,$100,$100
PrestaShop,https://alice-im-wunderladen.de/,no url,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
WooCommerce,https://graf1x.com/,no url,United States,,,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://almstad.de/,no url,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://borchellicollection.com,no url,,Website is down,,"$2.200,00","$200,00","$200,00",10,,,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://airsoft-3d-print.de/,https://www.linkedin.com/company/leapfrog-3d-printers,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://pandafoxtoys.com/,no url,,Couldn't find name of country,,"$1.100,00","$100,00","$100,00",10,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
WooCommerce,https://sleeklens.com/,https://www.linkedin.com/company/sleeklens,Denmark,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://thirdeyeoats.com/,https://www.linkedin.com/company/thirdeyeoats/about/,United States,,,"$1.100,00","$100,00","$100,00",10,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://fenster-jetzt.de/,no url,Czech Republic,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://fcp-engineering.de/,https://www.linkedin.com/company/fcp-inc.,Lithuania,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://fliesenprofil-fbs.de/,no url,Germany,,EU,"$550,00","$50,00","$50,00",10,,,,,,,,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Shopify,https://dailysmokeclub.com/,no url,United States,,,"$1.100,00","$100,00","$100,00",10,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Magento,https://goodsports.com/,https://www.linkedin.com/company/good-sports-outdoor-outfitters/,United States,,,"$3.300,00","$300,00","$300,00",10,,,,,,,,,,,,,,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
Magento,https://kinnucans.com/,https://www.linkedin.com/company/kinnucans-specialty-outfitter/,United States,,,"$1.100,00","$100,00","$100,00",10,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Magento,https://fivepawns.com/,https://www.linkedin.com/company/five-pawns,United States,,,"$2.200,00","$200,00","$200,00",10,,,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
Shopify,https://vixpaulahermanny.com/,https://www.linkedin.com/company/v-i-x-swimwear/,United States,,,"$2.200,00","$200,00","$200,00",10,,,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
Shopify,https://grandeuraccessories.com/,no url,United States,,,"$1.100,00","$100,00","$100,00",10,,,,,,,,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
Shopify,https://www.sueanntexas.com/,https://www.linkedin.com/company/flying-star-bar-shop,United States,,,"$2.200,00","$200,00","$200,00",10,,,,,,,,,,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
